src_ip,dst_ip,packet_rate,unique_ports,avg_packet_size,protocol,duration,connection_count,attack_type
203.0.113.13,192.168.1.8,53.0,58,586.8,TCP,299.1,28,stealth_probe
104.16.0.235,172.16.1.37,1225.7,3,1466.5,TCP,39.4,31,http_flood
203.0.113.75,192.168.2.4,4427.1,2,108.6,UDP,28.1,174,udp_flood
198.51.100.163,10.0.1.27,3390.7,1,1139.8,TCP,111.3,176,http_flood
45.33.144.114,10.0.1.122,13398.5,1,73.6,TCP,11.5,314,syn_flood
172.16.0.219,10.0.0.28,193.1,1,116.5,TCP,24.3,26,brute_force
203.0.113.197,192.168.2.53,1011.3,13,250.5,ESP,42.4,18,protocol_anomaly
104.16.0.24,192.168.1.59,683.9,317,139.9,TCP,14.0,197,port_scan
104.16.0.11,10.0.1.228,7090.4,2,64.9,TCP,4.6,349,syn_flood
104.16.0.64,192.168.2.158,70.9,3,55.5,TCP,509.9,87,slowloris
45.33.32.195,192.168.2.138,33.5,3,94.3,TCP,615.0,75,slowloris
203.0.113.98,10.0.1.211,47.6,1,134.4,TCP,21.5,47,brute_force
45.33.32.211,10.0.1.26,39.4,3,52.3,TCP,718.9,98,slowloris
203.0.113.21,192.168.1.40,805.1,1,2079.0,UDP,69.8,17,dns_amplification
45.33.32.213,10.0.1.10,596.3,1,189.3,TCP,7.1,394,brute_force
203.0.113.190,10.0.1.87,11159.0,1,54.6,TCP,6.5,205,syn_flood
104.16.0.103,10.0.0.19,4690.5,1,57.5,ICMP,16.5,41,icmp_flood
104.16.0.163,10.0.1.248,454.5,1,186.6,TCP,4.6,162,brute_force
45.33.144.246,10.0.0.41,2654.3,1,68.9,ICMP,2.4,68,icmp_flood
104.16.0.208,10.0.1.46,27.6,1,92.6,TCP,752.9,22,slowloris
10.10.10.160,172.16.1.124,1562.3,111,483.1,AH,79.1,37,protocol_anomaly
45.33.144.20,192.168.2.86,1153.6,33,550.5,PIM,51.1,12,protocol_anomaly
45.33.144.20,10.0.1.184,4204.6,1,1497.4,TCP,19.8,130,http_flood
172.16.0.187,10.0.0.125,3161.5,1,54.7,TCP,2.3,138,syn_flood
172.16.0.29,10.0.1.162,229.4,66,466.6,TCP,265.7,25,stealth_probe
172.16.0.166,192.168.2.38,2118.8,3,107.4,UDP,33.4,213,udp_flood
198.51.100.234,192.168.2.230,1446.7,3,1295.5,TCP,109.4,106,http_flood
203.0.113.121,192.168.2.207,228.8,19,69.6,TCP,235.7,29,stealth_probe
203.0.113.144,10.0.0.226,13707.0,2,71.8,TCP,3.3,77,syn_flood
91.189.0.237,192.168.2.123,37.7,1,179.8,TCP,59.5,39,brute_force
104.16.0.130,192.168.2.101,43.6,1,71.2,TCP,829.5,20,slowloris
10.10.10.20,192.168.1.181,939.7,51,90.5,TCP,4.4,47,port_scan
10.10.10.120,192.168.1.80,3.6,2,39.7,TCP,650.9,42,slowloris
91.189.0.14,192.168.1.53,319.0,1,61.2,TCP,3.0,64,brute_force
10.10.10.170,192.168.1.161,3729.4,2,835.7,TCP,69.6,173,http_flood
10.10.10.243,172.16.1.72,3686.3,1,56.6,ICMP,23.9,17,icmp_flood
91.189.0.205,192.168.1.206,64.1,1,76.7,TCP,36.2,11,brute_force
198.51.100.8,10.0.1.165,12539.0,1,41.0,TCP,3.2,256,syn_flood
10.10.10.113,10.0.1.253,4626.5,1,2289.8,UDP,4.6,49,dns_amplification
172.16.0.113,10.0.0.168,3282.3,2,1850.9,UDP,30.2,21,dns_amplification
45.33.32.20,10.0.0.154,585.4,143,73.6,TCP,15.8,159,port_scan
198.51.100.99,192.168.1.243,4479.7,2,1728.0,UDP,8.2,27,dns_amplification
91.189.0.23,172.16.1.44,986.6,16,769.5,GRE,70.8,16,protocol_anomaly
91.189.0.222,172.16.1.113,220.2,92,44.3,TCP,214.2,30,stealth_probe
203.0.113.142,10.0.1.198,1543.8,3,23.5,UDP,9.4,87,udp_flood
203.0.113.145,10.0.0.189,9186.0,2,76.0,TCP,1.7,386,syn_flood
198.51.100.174,172.16.1.63,2781.1,1,68.9,ICMP,15.5,98,icmp_flood
10.10.10.157,192.168.2.55,3724.2,4,54.4,UDP,9.6,52,udp_flood
104.16.0.60,10.0.0.21,4939.6,2,1774.3,UDP,22.4,31,dns_amplification
104.16.0.168,192.168.1.3,6127.5,1,71.8,ICMP,20.8,78,icmp_flood
104.16.0.230,172.16.1.112,2330.2,1,3654.7,UDP,41.1,40,dns_amplification
91.189.0.148,10.0.0.8,791.0,242,137.3,TCP,19.6,162,port_scan
198.51.100.15,10.0.1.96,56.3,1,111.5,TCP,204.0,90,slowloris
45.33.32.195,172.16.1.205,8343.3,2,60.9,TCP,13.0,332,syn_flood
10.10.10.111,192.168.1.122,1030.0,4,1263.3,TCP,85.5,86,http_flood
104.16.0.219,172.16.1.181,346.8,1,213.7,TCP,2.6,78,brute_force
45.33.32.15,172.16.1.160,559.8,8,248.7,SCTP,65.7,9,protocol_anomaly
45.33.32.17,10.0.1.166,7322.1,2,36.6,UDP,26.5,260,udp_flood
91.189.0.19,10.0.1.251,700.2,178,108.1,TCP,2.0,157,port_scan
203.0.113.243,172.16.1.67,1833.3,1,4455.9,UDP,40.9,42,dns_amplification
45.33.144.113,10.0.1.47,1223.3,80,621.8,SCTP,44.6,15,protocol_anomaly
198.51.100.115,10.0.0.35,163.8,182,104.7,UDP,18.1,38,port_scan
45.33.144.37,10.0.0.104,853.5,4,1009.5,TCP,29.8,145,http_flood
91.189.0.19,192.168.1.103,6970.5,2,51.0,TCP,9.5,420,syn_flood
203.0.113.127,10.0.0.181,211.3,378,57.6,UDP,18.4,117,port_scan
91.189.0.239,10.0.1.200,2072.7,1,72.6,TCP,3.0,465,syn_flood
45.33.144.238,192.168.2.249,5065.2,1,56.2,ICMP,9.6,84,icmp_flood
91.189.0.143,192.168.2.73,1104.6,2,1354.4,TCP,73.3,189,http_flood
198.51.100.132,172.16.1.222,64.8,1,99.8,TCP,163.2,41,slowloris
10.10.10.82,192.168.1.55,11938.5,1,73.4,TCP,9.5,463,syn_flood
172.16.0.226,192.168.1.2,11453.2,1,67.2,TCP,10.9,242,syn_flood
203.0.113.42,192.168.2.251,38.2,3,41.9,TCP,391.7,93,slowloris
91.189.0.151,172.16.1.222,123.2,83,450.7,UDP,281.0,20,stealth_probe
203.0.113.79,172.16.1.57,1200.1,1,1017.5,TCP,57.8,110,http_flood
45.33.32.26,172.16.1.220,1991.7,66,604.2,GRE,45.5,17,protocol_anomaly
45.33.32.13,192.168.1.80,5488.9,1,4286.1,UDP,25.5,17,dns_amplification
45.33.144.158,192.168.2.80,4438.2,1,70.2,TCP,1.4,93,syn_flood
91.189.0.21,172.16.1.195,363.9,1,72.5,TCP,7.7,136,brute_force
45.33.32.95,172.16.1.117,1258.1,3,86.5,UDP,17.8,258,udp_flood
45.33.32.240,10.0.0.117,5347.4,2,74.1,TCP,10.3,491,syn_flood
45.33.32.159,172.16.1.116,85.9,1,170.4,TCP,56.3,46,brute_force
45.33.32.46,172.16.1.181,75.6,2,69.8,TCP,109.6,79,slowloris
203.0.113.113,192.168.2.125,1106.0,206,90.0,TCP,7.3,91,port_scan
104.16.0.227,10.0.0.144,1499.8,11,119.2,SCTP,8.8,24,protocol_anomaly
45.33.32.185,192.168.2.183,556.6,46,496.9,SCTP,5.4,23,protocol_anomaly
10.10.10.243,192.168.1.29,59.9,9,111.6,TCP,274.1,35,stealth_probe
172.16.0.157,10.0.1.169,7162.1,2,57.9,TCP,5.5,80,syn_flood
203.0.113.49,192.168.2.167,13993.0,2,45.3,TCP,2.8,434,syn_flood
10.10.10.171,192.168.1.64,9934.9,1,72.4,ICMP,24.4,57,icmp_flood
203.0.113.21,10.0.1.189,25.6,2,52.8,TCP,476.8,46,slowloris
104.16.0.206,192.168.1.181,3257.2,4,1271.8,TCP,32.8,26,http_flood
10.10.10.92,10.0.1.188,4007.2,3,879.7,TCP,95.1,40,http_flood
198.51.100.59,192.168.1.146,2186.7,4,91.2,UDP,20.5,147,udp_flood
203.0.113.203,10.0.0.233,152.1,1,140.5,TCP,46.3,12,brute_force
172.16.0.81,172.16.1.244,2678.6,1,78.7,UDP,3.1,136,udp_flood
203.0.113.27,192.168.2.193,3044.3,3,108.1,UDP,1.4,226,udp_flood
45.33.32.220,10.0.0.83,4669.8,4,1310.6,TCP,90.4,161,http_flood
91.189.0.114,10.0.1.147,142.7,1,95.4,TCP,7.5,81,brute_force
198.51.100.127,192.168.1.106,307.5,24,769.2,PIM,7.3,22,protocol_anomaly
104.16.0.196,10.0.1.250,533.5,1,207.6,TCP,1.9,136,brute_force
10.10.10.253,172.16.1.48,1075.8,28,67.2,TCP,0.9,166,port_scan
91.189.0.1,172.16.1.143,580.8,8,752.8,ESP,14.4,25,protocol_anomaly
91.189.0.31,172.16.1.25,2895.0,3,1007.5,TCP,103.5,138,http_flood
203.0.113.163,192.168.2.248,54.5,1,66.9,TCP,396.4,44,slowloris
45.33.144.31,192.168.2.37,24.2,1,68.5,TCP,9.8,30,brute_force
91.189.0.227,10.0.0.94,7468.5,1,112.0,UDP,10.3,217,udp_flood
45.33.32.100,192.168.2.40,2037.2,1,69.2,ICMP,6.4,65,icmp_flood
10.10.10.55,172.16.1.149,2381.9,1,1592.9,UDP,25.8,46,dns_amplification
10.10.10.47,192.168.1.115,2593.9,7,1101.7,TCP,101.8,125,http_flood
45.33.144.238,192.168.1.85,4933.6,3,1330.5,TCP,87.9,103,http_flood
91.189.0.67,10.0.0.130,4012.5,3,1448.8,TCP,82.6,108,http_flood
172.16.0.224,192.168.2.130,47.9,1,26.7,TCP,172.9,78,slowloris
172.16.0.113,10.0.1.219,2397.5,1,971.9,TCP,103.6,185,http_flood
203.0.113.27,192.168.2.220,6571.4,1,54.9,TCP,10.7,431,syn_flood
203.0.113.6,192.168.2.66,8561.6,1,72.2,UDP,21.8,166,udp_flood
203.0.113.95,192.168.2.124,529.2,193,65.9,TCP,1.8,87,port_scan
10.10.10.131,10.0.0.144,76.6,2,15.0,TCP,796.1,88,slowloris
10.10.10.136,192.168.2.86,1007.9,5,1183.7,TCP,110.5,194,http_flood
91.189.0.246,172.16.1.111,2097.5,1,3959.8,UDP,44.6,22,dns_amplification
45.33.32.57,10.0.1.234,45.4,3,34.0,TCP,319.8,20,slowloris
198.51.100.95,172.16.1.46,4253.0,2,3197.5,UDP,80.6,20,dns_amplification
203.0.113.124,10.0.0.252,2792.1,1,1594.6,UDP,42.5,24,dns_amplification
198.51.100.250,192.168.1.131,4612.5,1,2774.2,UDP,74.8,14,dns_amplification
203.0.113.250,10.0.0.36,3806.2,2,1999.3,UDP,70.1,38,dns_amplification
91.189.0.9,172.16.1.30,8876.2,4,95.1,UDP,13.0,101,udp_flood
104.16.0.164,10.0.1.85,2367.8,4,849.7,TCP,17.5,154,http_flood
104.16.0.125,10.0.1.192,1172.2,4,807.0,TCP,77.4,94,http_flood
203.0.113.117,10.0.0.51,1041.1,340,124.3,TCP,10.7,55,port_scan
45.33.32.211,10.0.1.9,806.8,109,129.5,TCP,5.2,192,port_scan
198.51.100.17,10.0.0.15,787.4,6,1104.9,TCP,30.5,173,http_flood
172.16.0.52,10.0.1.252,37.9,95,335.8,UDP,285.4,18,stealth_probe
91.189.0.35,10.0.1.191,688.9,274,94.1,TCP,10.5,169,port_scan
104.16.0.132,192.168.1.171,4626.7,3,43.2,UDP,23.9,127,udp_flood
104.16.0.52,192.168.2.31,1544.0,88,93.8,IGMP,73.6,11,protocol_anomaly
10.10.10.204,192.168.2.80,11261.4,2,77.4,TCP,9.6,324,syn_flood
104.16.0.234,192.168.2.137,10162.6,1,55.1,ICMP,14.6,26,icmp_flood
198.51.100.61,10.0.1.145,177.6,1,64.0,TCP,51.4,20,brute_force
172.16.0.66,192.168.1.19,138.2,79,437.6,TCP,49.0,12,stealth_probe
104.16.0.6,10.0.1.187,2348.5,1,66.1,ICMP,24.2,51,icmp_flood
198.51.100.139,172.16.1.213,186.5,1,94.8,TCP,7.1,252,brute_force
10.10.10.21,10.0.0.97,5623.4,1,72.0,TCP,8.8,291,syn_flood
198.51.100.22,192.168.2.249,705.2,340,81.3,UDP,6.9,135,port_scan
91.189.0.122,192.168.2.97,8291.1,1,51.0,ICMP,18.8,57,icmp_flood
10.10.10.185,10.0.0.17,7293.4,2,40.4,TCP,7.1,289,syn_flood
172.16.0.89,192.168.2.226,3251.0,4,898.4,TCP,17.7,32,http_flood
203.0.113.80,192.168.2.55,39.7,58,125.5,TCP,251.1,8,stealth_probe
45.33.144.85,192.168.2.246,1931.9,76,330.4,GRE,3.6,45,protocol_anomaly
104.16.0.111,192.168.1.119,9022.1,4,90.0,UDP,29.9,207,udp_flood
203.0.113.223,192.168.2.2,6979.1,1,83.8,ICMP,11.5,11,icmp_flood
45.33.144.36,172.16.1.171,71.0,1,179.1,TCP,35.1,18,brute_force
198.51.100.23,172.16.1.171,291.0,1,220.2,TCP,0.8,92,brute_force
91.189.0.73,10.0.1.73,301.6,21,143.1,TCP,1.4,197,port_scan
104.16.0.2,192.168.1.151,143.8,71,539.1,TCP,139.1,30,stealth_probe
203.0.113.68,172.16.1.74,182.3,109,748.1,PIM,79.0,36,protocol_anomaly
203.0.113.250,10.0.1.12,69.0,1,92.5,TCP,40.7,39,brute_force
45.33.144.55,192.168.2.244,2503.4,1,1812.0,UDP,33.1,40,dns_amplification
172.16.0.146,172.16.1.110,7256.2,3,35.9,UDP,27.9,126,udp_flood
172.16.0.29,172.16.1.168,4717.6,4,808.7,TCP,99.2,182,http_flood
91.189.0.150,10.0.0.51,3549.9,2,61.6,TCP,10.9,477,syn_flood
45.33.32.210,10.0.0.80,2674.0,1,47.0,TCP,8.4,65,syn_flood
172.16.0.158,10.0.1.239,1433.5,1,4407.4,UDP,65.9,34,dns_amplification
45.33.144.141,10.0.0.42,603.3,45,137.7,TCP,11.3,105,port_scan
172.16.0.130,172.16.1.121,6826.8,1,70.5,TCP,13.8,126,syn_flood
45.33.32.89,10.0.1.77,2841.7,2,2423.8,UDP,11.3,39,dns_amplification
203.0.113.2,192.168.2.182,7525.2,4,114.2,UDP,15.8,226,udp_flood
104.16.0.81,172.16.1.117,194.4,29,464.0,AH,31.1,47,protocol_anomaly
203.0.113.193,192.168.1.155,3122.3,4,66.0,UDP,4.4,162,udp_flood
91.189.0.104,192.168.2.146,2571.4,2,4428.6,UDP,23.6,22,dns_amplification
45.33.144.87,172.16.1.223,21.8,83,509.8,TCP,93.5,32,stealth_probe
91.189.0.178,192.168.2.152,109.5,1,98.9,TCP,7.9,198,brute_force
104.16.0.99,10.0.0.4,2976.3,2,106.5,UDP,34.8,203,udp_flood
198.51.100.83,10.0.1.141,383.4,1,70.8,TCP,3.3,155,brute_force
45.33.32.214,10.0.1.1,8640.9,2,46.4,TCP,5.5,218,syn_flood
91.189.0.107,192.168.1.109,536.0,1,116.0,TCP,4.9,124,brute_force
203.0.113.239,10.0.1.157,2937.7,2,1643.5,UDP,19.7,13,dns_amplification
172.16.0.150,192.168.2.92,1466.9,17,581.2,GRE,64.4,29,protocol_anomaly
198.51.100.24,10.0.1.230,232.4,5,516.4,TCP,67.8,15,stealth_probe
172.16.0.51,192.168.1.10,2090.5,1,1086.6,TCP,77.2,89,http_flood
203.0.113.46,10.0.0.78,158.6,195,74.8,TCP,10.6,164,port_scan
45.33.32.182,192.168.2.108,34.4,2,70.7,TCP,65.1,57,slowloris
10.10.10.127,192.168.1.37,4719.7,1,1580.9,UDP,60.9,25,dns_amplification
172.16.0.16,172.16.1.93,8627.2,1,51.2,ICMP,20.1,15,icmp_flood
203.0.113.68,172.16.1.120,2811.3,1,3764.7,UDP,3.2,48,dns_amplification
198.51.100.220,10.0.1.51,835.4,101,130.0,TCP,5.9,107,port_scan
45.33.32.225,172.16.1.28,646.2,156,64.2,TCP,9.1,86,port_scan
45.33.144.3,172.16.1.244,1878.2,91,63.3,IGMP,20.6,11,protocol_anomaly
10.10.10.213,192.168.2.16,68.2,2,43.2,TCP,725.0,19,slowloris
10.10.10.16,192.168.1.28,551.4,234,111.8,UDP,3.4,146,port_scan
172.16.0.247,10.0.0.21,230.4,446,124.9,UDP,13.1,29,port_scan
203.0.113.218,172.16.1.233,7338.4,1,69.8,TCP,1.4,289,syn_flood
198.51.100.197,10.0.1.67,12907.8,1,57.4,TCP,3.5,474,syn_flood
45.33.32.87,10.0.1.247,284.1,6,442.2,GRE,61.6,5,protocol_anomaly
10.10.10.124,192.168.1.170,170.1,31,80.9,TCP,58.2,10,stealth_probe
203.0.113.72,10.0.0.220,2731.8,4,1239.1,TCP,104.5,174,http_flood
91.189.0.69,10.0.1.11,4450.6,2,45.3,TCP,14.5,425,syn_flood
104.16.0.11,192.168.1.167,3952.0,1,1171.9,TCP,42.8,135,http_flood
104.16.0.8,10.0.1.75,3405.1,2,1060.4,TCP,115.5,126,http_flood
104.16.0.17,192.168.2.85,7565.9,3,105.8,UDP,31.3,269,udp_flood
45.33.32.111,192.168.2.121,462.3,1,194.6,TCP,1.0,330,brute_force
104.16.0.141,10.0.1.153,494.6,301,132.1,TCP,11.2,183,port_scan
203.0.113.14,172.16.1.148,107.7,69,337.8,TCP,121.1,37,stealth_probe
104.16.0.133,10.0.1.221,42.3,2,60.3,TCP,617.5,48,slowloris
198.51.100.220,10.0.0.38,937.0,431,108.7,TCP,14.1,97,port_scan
198.51.100.4,172.16.1.107,587.1,1,127.2,TCP,6.1,101,brute_force
203.0.113.72,192.168.1.178,726.2,32,598.9,IGMP,5.1,40,protocol_anomaly
198.51.100.242,10.0.0.189,5128.3,1,1667.0,UDP,39.9,38,dns_amplification
198.51.100.54,10.0.0.246,927.7,206,63.5,TCP,9.2,14,port_scan
198.51.100.98,10.0.0.213,1049.7,13,541.4,PIM,44.4,28,protocol_anomaly
45.33.32.171,172.16.1.100,6325.6,2,65.8,TCP,11.4,230,syn_flood
172.16.0.82,192.168.2.40,244.9,46,338.1,TCP,269.3,38,stealth_probe
91.189.0.9,10.0.0.52,117.9,1,249.6,TCP,29.5,26,brute_force
104.16.0.233,10.0.0.87,658.8,328,135.6,TCP,1.2,193,port_scan
91.189.0.21,192.168.1.63,501.4,7,971.8,TCP,119.3,156,http_flood
45.33.144.34,192.168.2.116,13041.3,1,41.7,TCP,14.8,129,syn_flood
172.16.0.167,172.16.1.190,1474.7,2,82.1,UDP,12.6,168,udp_flood
198.51.100.70,10.0.1.200,3455.4,1,81.1,UDP,14.6,217,udp_flood
172.16.0.83,10.0.1.115,3533.0,2,3701.3,UDP,33.3,38,dns_amplification
45.33.144.162,10.0.1.226,79.3,72,497.2,TCP,198.1,36,stealth_probe
91.189.0.137,10.0.1.26,350.9,86,708.1,GRE,25.1,21,protocol_anomaly
45.33.32.216,10.0.1.253,1016.4,38,118.5,UDP,9.4,128,port_scan
45.33.32.117,172.16.1.100,5035.2,2,3380.2,UDP,9.5,48,dns_amplification
45.33.32.214,10.0.0.224,3820.1,1,62.7,ICMP,20.7,73,icmp_flood
203.0.113.56,10.0.1.218,7139.3,1,29.1,UDP,16.8,83,udp_flood
172.16.0.105,172.16.1.119,799.5,113,137.5,TCP,2.9,113,port_scan
104.16.0.15,192.168.2.41,7659.8,1,60.8,ICMP,28.2,99,icmp_flood
10.10.10.197,192.168.2.122,2890.8,4,70.4,UDP,5.7,176,udp_flood
203.0.113.87,192.168.1.100,155.5,426,130.2,TCP,7.3,181,port_scan
198.51.100.16,10.0.1.84,148.8,97,584.6,TCP,279.9,12,stealth_probe
45.33.32.86,10.0.1.119,213.2,69,450.2,TCP,71.9,4,stealth_probe
45.33.144.204,192.168.2.9,9958.3,1,37.9,UDP,10.9,258,udp_flood
45.33.32.249,192.168.1.37,9466.3,2,63.1,UDP,16.1,240,udp_flood
91.189.0.63,10.0.1.205,68.0,2,110.1,TCP,481.8,68,slowloris
198.51.100.21,192.168.1.86,728.7,47,141.7,TCP,18.6,170,port_scan
45.33.144.240,172.16.1.8,9.7,97,505.9,UDP,191.4,37,stealth_probe
198.51.100.117,192.168.1.122,58.3,1,94.7,TCP,331.4,97,slowloris
10.10.10.46,10.0.0.98,167.2,8,137.7,TCP,132.0,28,stealth_probe
198.51.100.84,172.16.1.154,6525.7,4,57.3,UDP,5.8,77,udp_flood
172.16.0.177,10.0.1.11,124.1,41,78.1,TCP,16.3,197,port_scan
172.16.0.152,10.0.1.145,4468.0,1,66.3,ICMP,15.1,89,icmp_flood
172.16.0.75,192.168.1.249,218.5,81,168.2,UDP,177.0,23,stealth_probe
172.16.0.234,172.16.1.4,158.2,1,197.5,TCP,19.8,17,brute_force
91.189.0.187,192.168.2.99,5897.0,1,31.1,UDP,25.1,253,udp_flood
198.51.100.3,192.168.2.129,37.2,3,97.2,TCP,753.8,80,slowloris
203.0.113.248,10.0.0.8,143.6,1,95.9,TCP,1.0,63,brute_force
203.0.113.48,192.168.2.155,3421.3,2,3423.9,UDP,37.6,15,dns_amplification
45.33.144.220,192.168.1.196,3873.1,1,3841.6,UDP,9.9,5,dns_amplification
172.16.0.175,192.168.1.34,578.3,400,140.0,TCP,6.9,147,port_scan
10.10.10.103,192.168.1.113,1565.2,5,1162.6,TCP,12.2,74,http_flood
198.51.100.205,10.0.0.180,14.3,3,65.5,TCP,730.3,74,slowloris
45.33.32.1,192.168.2.133,39.4,2,60.3,TCP,629.8,26,slowloris
91.189.0.152,192.168.2.151,584.7,489,91.1,TCP,19.8,177,port_scan
45.33.32.94,192.168.1.8,4374.4,7,1155.2,TCP,43.3,133,http_flood
203.0.113.216,10.0.1.206,6148.9,1,79.3,TCP,1.4,459,syn_flood
104.16.0.180,10.0.1.195,111.6,56,271.3,TCP,135.1,34,stealth_probe
104.16.0.240,192.168.1.69,7909.1,1,59.5,TCP,0.8,467,syn_flood
45.33.144.97,172.16.1.220,1038.0,91,201.8,PIM,12.8,7,protocol_anomaly
45.33.32.36,10.0.0.25,6622.5,1,64.4,ICMP,23.3,62,icmp_flood
91.189.0.77,192.168.2.103,3324.8,2,85.4,UDP,31.4,168,udp_flood
172.16.0.174,192.168.1.162,507.2,89,132.9,TCP,1.9,177,port_scan
91.189.0.48,10.0.1.23,113.8,65,47.8,TCP,164.7,3,stealth_probe
172.16.0.188,10.0.1.146,9876.7,1,31.8,UDP,25.5,177,udp_flood
10.10.10.15,172.16.1.108,12629.7,2,48.4,TCP,14.3,171,syn_flood
45.33.144.15,10.0.0.205,142.7,65,547.6,TCP,273.3,21,stealth_probe
45.33.32.240,10.0.0.171,848.7,65,415.0,GRE,46.2,41,protocol_anomaly
172.16.0.253,192.168.1.92,1049.9,3,467.1,ESP,30.7,23,protocol_anomaly
45.33.32.216,192.168.2.48,54.2,1,86.1,TCP,397.7,32,slowloris
91.189.0.4,192.168.2.210,2285.7,6,1007.4,TCP,38.9,90,http_flood
203.0.113.217,10.0.1.56,9134.0,4,117.0,UDP,9.1,129,udp_flood
172.16.0.53,10.0.1.234,5518.1,4,38.7,UDP,28.1,58,udp_flood
198.51.100.89,172.16.1.18,1944.3,2,90.2,UDP,18.4,96,udp_flood
198.51.100.48,192.168.2.12,1140.8,265,78.8,TCP,12.9,119,port_scan
172.16.0.118,192.168.1.72,7.9,2,99.2,TCP,306.4,59,slowloris
172.16.0.48,172.16.1.23,8826.1,2,37.7,UDP,19.4,78,udp_flood
172.16.0.62,192.168.2.210,29.7,1,59.6,TCP,811.6,19,slowloris
10.10.10.174,10.0.0.223,7569.5,1,60.5,ICMP,22.9,37,icmp_flood
45.33.32.172,172.16.1.240,620.2,332,148.4,TCP,1.4,176,port_scan
91.189.0.171,192.168.1.165,5974.6,1,60.2,ICMP,5.3,57,icmp_flood
91.189.0.235,10.0.0.233,478.4,295,61.7,TCP,1.0,54,port_scan
172.16.0.156,192.168.2.176,393.4,87,111.2,TCP,4.8,119,port_scan
91.189.0.26,192.168.2.188,2575.9,2,1885.6,UDP,89.0,40,dns_amplification
91.189.0.189,192.168.1.107,1355.5,80,202.8,GRE,71.7,42,protocol_anomaly
10.10.10.211,172.16.1.236,5650.6,1,3153.8,UDP,57.4,34,dns_amplification
91.189.0.107,10.0.1.31,3322.9,4,1039.5,TCP,6.8,130,http_flood
203.0.113.207,192.168.2.52,5761.9,2,54.5,TCP,5.0,172,syn_flood
203.0.113.146,192.168.1.209,1788.1,2,1563.1,UDP,3.0,48,dns_amplification
45.33.144.128,172.16.1.146,393.7,1,175.8,TCP,7.8,131,brute_force
203.0.113.115,172.16.1.103,48.5,2,42.8,TCP,892.1,58,slowloris
45.33.32.126,192.168.2.189,1084.7,35,128.3,UDP,6.7,136,port_scan
172.16.0.248,10.0.0.85,181.7,228,104.1,TCP,4.1,57,port_scan
104.16.0.154,10.0.0.121,6293.2,1,51.0,TCP,6.6,211,syn_flood
104.16.0.223,192.168.1.216,5255.2,2,73.9,TCP,7.0,150,syn_flood
10.10.10.231,192.168.2.167,184.1,93,144.4,TCP,281.8,30,stealth_probe
