src_ip,dst_ip,packet_rate,unique_ports,avg_packet_size,protocol,duration,connection_count
192.168.1.54,10.0.1.35,704.5,1,1287.1,UDP,50.5,4
10.0.10.203,172.16.1.29,1358.2,1,1001.9,TCP,8.4,3
10.0.2.160,10.0.0.69,360.4,1,994.9,TCP,32.4,3
10.0.10.57,10.0.1.62,133.2,3,954.0,TCP,35.5,1
10.0.10.113,10.0.1.56,111.8,1,262.4,TCP,11.7,2
10.0.10.216,10.0.1.238,292.8,2,1431.0,TCP,77.5,4
192.168.2.175,172.16.1.68,129.4,2,602.3,ICMP,1.0,1
10.0.51.206,192.168.1.80,50.0,1,552.5,TCP,6.0,9
192.168.1.147,192.168.1.9,394.2,1,1147.8,TCP,22.9,3
192.168.1.199,172.16.1.106,661.1,1,1443.0,UDP,60.7,4
10.0.10.25,192.168.2.215,378.5,2,1180.8,UDP,112.1,1
10.0.2.189,10.0.1.27,350.2,2,1271.0,UDP,88.1,3
10.0.1.64,10.0.0.234,23.9,5,577.2,UDP,23.2,14
192.168.50.100,10.0.0.114,133.1,1,1500.0,TCP,90.2,9
10.2.0.7,192.168.2.7,59.5,4,999.3,TCP,25.1,3
192.168.50.26,10.0.1.163,43.3,6,978.9,TCP,20.6,13
10.0.1.204,10.0.0.29,190.6,2,591.0,ICMP,9.8,5
192.168.50.193,192.168.1.67,39.4,1,1500.0,ICMP,8.3,14
192.168.1.17,10.0.0.126,368.9,2,1500.0,TCP,36.0,1
192.168.2.98,172.16.1.129,129.3,5,100.0,TCP,0.5,12
192.168.50.207,172.16.1.253,120.7,7,1012.8,UDP,22.9,7
192.168.50.133,10.0.0.135,101.6,8,855.2,TCP,4.4,3
192.168.10.207,192.168.2.70,461.3,1,1252.8,TCP,48.8,3
10.2.0.167,10.0.1.232,34.5,1,71.5,ICMP,18.4,1
192.168.50.170,10.0.0.1,570.9,2,943.7,UDP,78.9,3
192.168.10.150,10.0.0.146,221.1,1,1326.4,UDP,90.0,2
10.1.0.18,192.168.1.77,49.0,8,1174.7,TCP,43.5,1
10.0.2.232,10.0.1.89,548.9,3,1293.9,UDP,22.8,3
192.168.1.218,10.0.0.138,594.5,3,978.4,TCP,59.4,4
192.168.1.194,10.0.1.38,547.0,2,1488.2,UDP,76.0,1
10.1.0.138,172.16.1.45,39.6,7,214.3,UDP,4.6,12
192.168.10.175,192.168.2.30,1477.4,1,555.7,UDP,2.6,2
192.168.1.89,10.0.0.214,257.8,15,350.2,TCP,29.3,13
10.2.0.253,172.16.1.88,571.2,2,766.8,UDP,253.2,1
10.0.1.85,192.168.2.77,138.1,1,179.7,UDP,2.7,6
10.2.0.213,192.168.1.228,44.8,1,29.6,ICMP,16.7,1
192.168.50.177,172.16.1.136,67.8,5,700.0,TCP,9.6,12
192.168.50.199,192.168.2.202,229.7,3,1076.0,TCP,7.8,4
192.168.50.76,172.16.1.50,78.1,6,100.0,TCP,2.5,1
192.168.10.93,192.168.1.155,584.8,2,1121.5,UDP,206.9,1
10.1.0.35,172.16.1.111,57.7,1,55.8,ICMP,17.0,1
192.168.2.110,192.168.2.221,263.9,15,709.9,UDP,43.5,10
10.1.0.127,192.168.2.187,11.2,3,675.8,ICMP,28.7,11
10.0.10.224,10.0.0.209,446.8,8,1438.9,TCP,13.2,4
10.0.1.172,192.168.2.236,176.6,9,203.2,TCP,6.3,5
192.168.50.3,172.16.1.153,172.8,1,698.2,TCP,3.8,13
10.0.1.131,10.0.1.226,22.5,8,504.6,TCP,16.4,12
10.0.50.114,192.168.1.191,418.1,3,272.8,TCP,44.9,8
10.2.0.238,192.168.1.187,185.2,2,143.8,UDP,0.5,1
10.1.0.169,192.168.1.44,57.0,5,1253.0,ICMP,10.7,3
192.168.1.36,192.168.1.236,141.3,4,689.6,TCP,45.6,12
192.168.50.203,10.0.1.188,455.4,1,969.4,UDP,117.0,4
10.0.2.81,172.16.1.205,128.6,6,786.8,TCP,19.0,8
10.0.2.133,10.0.0.99,32.7,7,798.2,TCP,6.9,1
192.168.10.44,192.168.1.149,407.3,2,1177.0,TCP,41.4,1
10.2.0.144,192.168.2.197,696.7,1,1493.4,TCP,81.2,3
10.0.51.63,10.0.0.24,454.6,4,298.9,TCP,2.5,10
10.0.10.145,192.168.2.104,50.1,6,540.3,UDP,3.5,3
10.0.1.215,192.168.2.41,83.8,3,488.0,UDP,9.2,14
192.168.1.228,192.168.2.62,61.6,7,876.8,TCP,108.1,8
192.168.10.19,10.0.1.75,192.4,1,268.1,UDP,8.7,3
192.168.2.12,172.16.1.86,248.9,6,1002.0,TCP,11.1,9
192.168.1.92,10.0.0.77,167.7,6,711.2,TCP,7.3,6
192.168.1.108,10.0.0.216,40.2,2,566.9,UDP,0.5,7
10.0.1.118,172.16.1.246,190.7,4,704.8,TCP,31.6,5
192.168.50.109,172.16.1.174,54.9,1,230.0,UDP,8.9,5
10.0.2.148,10.0.1.239,93.4,1,198.5,UDP,11.9,1
10.0.1.207,10.0.0.38,160.4,1,170.0,TCP,55.2,10
10.0.2.209,10.0.1.228,56.7,2,276.7,TCP,8.7,8
192.168.2.184,192.168.2.14,77.0,7,926.9,TCP,25.6,13
192.168.100.91,10.0.1.217,29.2,1,153.2,ICMP,7.7,1
10.0.50.132,192.168.1.84,253.2,5,432.8,TCP,4.8,5
10.2.0.184,10.0.0.152,54.0,2,84.4,UDP,6.4,2
10.0.1.137,172.16.1.91,136.0,9,821.7,TCP,9.3,4
192.168.1.237,192.168.1.127,285.1,9,430.1,TCP,19.0,12
192.168.2.238,172.16.1.235,502.1,2,1019.1,UDP,42.4,1
10.0.50.89,192.168.1.168,126.5,2,240.6,TCP,4.2,8
10.0.2.123,172.16.1.210,10.8,1,180.9,UDP,8.3,2
10.0.100.119,192.168.1.162,11.4,1,134.1,UDP,6.5,1
10.2.0.73,192.168.1.101,97.1,5,581.4,TCP,63.4,3
10.0.1.11,10.0.1.237,119.1,1,309.1,UDP,5.7,4
10.1.0.139,10.0.1.25,102.2,3,692.6,TCP,3.7,12
192.168.2.198,10.0.1.152,46.8,8,949.5,TCP,7.3,12
10.1.0.69,10.0.1.133,664.4,3,849.9,UDP,63.8,3
10.0.2.241,192.168.1.236,54.6,6,601.6,TCP,15.4,4
10.1.0.168,10.0.1.44,31.7,4,1155.4,UDP,0.7,2
192.168.50.64,192.168.1.110,167.8,2,846.6,UDP,1.7,14
10.0.1.49,10.0.0.74,1475.4,3,1379.5,TCP,6.1,5
192.168.50.62,10.0.1.96,109.7,5,403.4,TCP,21.4,3
192.168.10.78,192.168.1.6,355.0,1,1333.9,TCP,40.9,1
192.168.50.82,172.16.1.137,32.7,5,1320.2,TCP,15.1,6
192.168.10.186,10.0.0.166,55.4,5,194.6,ICMP,3.5,1
192.168.50.239,172.16.1.62,399.1,1,1323.2,UDP,29.8,1
192.168.10.37,172.16.1.228,396.0,2,1192.8,UDP,40.2,3
192.168.10.57,172.16.1.47,29.7,1,79.9,ICMP,35.5,2
192.168.1.192,172.16.1.175,39.7,1,967.1,UDP,9.8,9
10.0.2.125,192.168.1.127,600.9,3,1419.3,UDP,62.1,3
10.0.10.251,10.0.1.237,144.9,1,934.5,UDP,10.6,4
192.168.1.4,10.0.0.244,33.3,1,68.1,ICMP,5.4,2
10.0.10.225,172.16.1.15,120.0,2,100.0,TCP,8.4,14
192.168.1.75,192.168.2.203,484.3,1,1149.7,TCP,126.9,4
192.168.10.152,192.168.2.102,31.1,3,656.1,TCP,1.1,12
192.168.1.116,192.168.2.75,51.2,2,194.3,TCP,5.3,1
10.0.10.167,10.0.0.181,26.2,7,1103.8,TCP,14.3,5
192.168.50.142,192.168.1.121,310.0,4,830.5,TCP,9.0,12
192.168.1.18,172.16.1.148,173.4,1,463.1,TCP,198.6,1
10.0.2.38,192.168.1.50,278.7,15,1088.8,TCP,10.6,15
192.168.2.176,192.168.2.92,343.1,1,311.6,TCP,19.3,1
192.168.50.158,172.16.1.155,59.3,2,638.5,UDP,37.1,4
192.168.2.146,10.0.0.155,106.5,1,75.4,UDP,10.8,6
10.0.1.227,192.168.2.167,58.4,5,1263.4,TCP,9.6,12
10.2.0.238,10.0.1.202,504.2,1,1500.0,UDP,75.9,4
192.168.10.253,10.0.1.215,118.0,4,1110.3,TCP,35.5,13
192.168.1.78,10.0.1.228,148.5,1,283.9,TCP,6.8,1
10.0.1.4,172.16.1.44,38.6,4,927.6,ICMP,2.9,8
10.0.2.174,172.16.1.151,51.4,1,390.7,UDP,7.3,2
10.2.0.2,10.0.1.246,54.6,1,51.9,ICMP,34.3,2
10.0.2.122,192.168.2.118,338.9,3,1035.3,TCP,97.2,2
10.1.0.63,192.168.2.114,67.7,8,770.5,TCP,4.3,10
192.168.2.54,192.168.1.69,221.7,7,845.9,TCP,13.0,1
192.168.2.219,192.168.1.52,44.2,3,656.7,TCP,9.7,13
10.1.0.68,10.0.0.148,46.2,1,70.2,ICMP,2.9,2
10.1.0.125,10.0.0.208,53.0,2,262.7,UDP,14.0,4
192.168.1.219,10.0.1.61,51.7,1,757.7,UDP,5.3,3
10.0.10.92,10.0.1.21,87.9,1,218.0,TCP,14.1,4
10.0.1.4,192.168.2.184,49.4,3,506.5,TCP,6.0,5
192.168.2.8,172.16.1.96,24.9,7,709.2,UDP,54.6,10
192.168.1.22,192.168.1.110,99.9,3,576.3,TCP,7.1,1
10.0.10.132,10.0.0.123,133.7,5,1007.1,TCP,14.5,6
10.0.2.244,172.16.1.116,30.5,6,1004.9,UDP,23.9,7
10.0.10.217,192.168.2.150,260.3,3,1250.5,UDP,64.6,3
192.168.10.3,192.168.2.238,21.4,4,879.8,TCP,0.9,6
10.0.1.25,172.16.1.133,24.3,1,795.3,UDP,12.9,14
192.168.10.107,192.168.1.195,183.4,1,227.9,TCP,1.8,5
10.0.50.203,192.168.1.152,250.4,1,429.3,TCP,0.5,8
10.2.0.95,10.0.0.135,417.0,3,1066.9,TCP,50.2,2
192.168.1.120,10.0.1.204,73.8,7,424.2,TCP,46.7,11
10.0.10.46,172.16.1.9,79.7,2,1240.0,TCP,76.8,8
192.168.50.127,192.168.2.207,494.8,1,1358.3,TCP,22.0,2
10.0.51.140,10.0.0.249,257.8,1,494.1,TCP,0.5,3
192.168.50.110,10.0.0.10,100.8,2,624.9,TCP,137.7,3
10.2.0.245,172.16.1.224,88.2,4,1180.7,TCP,70.7,6
10.1.0.29,10.0.0.122,135.1,1,261.4,UDP,4.1,3
10.0.1.14,10.0.1.213,134.5,1,178.5,TCP,1.9,6
10.0.51.66,192.168.1.181,131.5,1,551.5,TCP,2.4,7
10.0.2.71,192.168.1.139,396.9,2,1080.2,TCP,74.3,2
192.168.2.234,192.168.2.250,313.4,3,304.1,TCP,0.5,10
10.0.2.80,10.0.1.24,271.7,5,1079.2,UDP,14.2,7
10.0.100.54,10.0.0.66,4.5,1,177.3,UDP,8.3,1
192.168.1.9,192.168.1.167,111.5,2,341.8,UDP,9.2,3
10.0.1.56,10.0.0.48,42.6,4,613.2,TCP,17.8,13
10.0.2.184,172.16.1.170,58.0,1,65.1,ICMP,7.4,2
10.0.10.243,192.168.1.241,506.9,1,733.0,TCP,197.2,1
192.168.2.20,172.16.1.88,52.3,9,797.1,TCP,10.0,7
10.0.2.80,10.0.1.69,345.1,2,1191.3,TCP,73.1,3
10.0.1.87,172.16.1.28,63.2,1,244.5,UDP,9.6,6
10.0.10.112,10.0.0.85,61.0,2,265.5,UDP,1.1,7
10.0.2.65,192.168.2.218,411.2,5,1139.5,UDP,0.8,7
10.0.51.162,10.0.0.41,384.0,3,344.1,TCP,2.7,10
192.168.50.173,172.16.1.60,80.0,8,1247.3,TCP,10.0,5
10.0.1.237,10.0.0.5,473.3,2,1350.9,UDP,53.5,2
10.0.10.140,10.0.0.31,473.8,3,1421.5,TCP,119.1,2
10.0.1.93,192.168.2.51,384.4,1,1038.3,UDP,8.9,11
192.168.2.61,10.0.0.88,525.9,1,1218.1,UDP,72.4,2
10.1.0.196,192.168.2.225,443.8,4,1121.7,UDP,5.0,3
192.168.100.138,192.168.1.201,26.4,1,132.6,UDP,3.3,1
10.0.1.13,10.0.0.28,166.5,7,1014.3,TCP,4.0,1
10.2.0.30,10.0.0.148,20.2,1,49.5,ICMP,22.2,2
10.1.0.62,10.0.1.137,136.5,1,191.7,UDP,3.1,3
10.0.2.69,172.16.1.219,58.6,7,805.5,TCP,39.5,6
10.2.0.18,192.168.1.32,56.5,1,58.7,ICMP,19.1,1
10.0.2.105,192.168.2.168,141.9,1,198.9,UDP,10.2,6
10.0.10.173,192.168.1.110,182.8,1,188.4,UDP,1.3,2
10.0.51.216,10.0.0.203,92.4,2,511.3,TCP,1.4,11
10.1.0.172,192.168.2.30,309.5,1,1376.1,UDP,45.3,4
192.168.2.151,192.168.1.24,31.5,2,260.7,UDP,11.0,6
192.168.2.193,192.168.1.11,101.6,5,771.0,TCP,44.2,11
192.168.50.10,192.168.2.222,440.4,1,848.1,TCP,64.2,4
10.0.1.11,10.0.1.120,1105.3,3,922.4,TCP,17.0,5
10.0.2.213,172.16.1.54,464.1,2,1133.5,UDP,49.9,3
192.168.2.80,10.0.0.240,682.2,3,1362.5,TCP,103.7,1
10.0.1.200,172.16.1.25,129.9,7,1174.2,UDP,5.8,13
10.0.10.93,172.16.1.235,418.7,1,902.4,TCP,54.7,2
192.168.2.178,10.0.0.56,48.2,5,846.9,TCP,5.5,6
10.0.1.215,192.168.2.169,184.8,2,403.9,UDP,10.6,1
192.168.1.168,10.0.0.124,27.2,1,866.8,UDP,16.9,9
10.0.1.172,10.0.0.46,7.1,1,71.5,ICMP,35.7,1
192.168.2.87,10.0.0.152,159.6,1,182.9,UDP,6.6,1
192.168.1.169,192.168.2.105,34.3,1,191.3,UDP,13.9,2
10.0.1.28,192.168.1.191,53.0,3,650.4,TCP,23.4,5
192.168.10.102,192.168.1.228,50.9,18,91.2,TCP,47.3,6
10.0.2.226,10.0.0.33,34.1,3,596.7,UDP,4.5,14
192.168.10.168,10.0.1.221,123.2,4,1495.7,TCP,1.9,5
10.0.2.74,172.16.1.69,90.2,9,660.0,TCP,9.6,10
10.0.100.168,192.168.1.241,6.2,1,83.3,UDP,8.7,1
192.168.10.98,10.0.1.29,105.9,4,947.4,TCP,20.2,4
10.2.0.114,192.168.2.108,156.7,1,226.0,UDP,3.5,4
10.0.2.146,10.0.0.227,148.9,2,526.2,TCP,1.2,2
10.0.10.68,192.168.1.107,190.1,4,727.8,TCP,205.1,2
10.1.0.79,10.0.0.35,244.5,2,1198.1,TCP,60.9,1
10.0.51.199,10.0.0.207,175.6,2,397.8,TCP,10.4,3
10.1.0.118,192.168.2.63,26.1,5,625.5,UDP,2.0,13
192.168.50.96,172.16.1.158,450.3,1,809.7,TCP,39.8,2
10.0.51.96,10.0.0.185,341.8,3,1023.8,TCP,2.3,7
10.2.0.40,192.168.2.175,629.6,1,1201.9,TCP,5.0,4
10.0.2.167,10.0.1.3,200.2,8,183.7,UDP,1.7,14
10.0.1.217,192.168.2.167,164.7,1,156.1,UDP,10.9,5
10.0.1.19,192.168.2.249,190.5,2,762.7,UDP,13.7,5
10.0.1.119,192.168.1.61,75.9,1,545.2,ICMP,3.6,8
192.168.1.112,192.168.2.203,131.1,5,1040.8,UDP,42.1,6
192.168.10.59,10.0.1.30,60.1,12,774.0,UDP,24.7,5
192.168.50.166,10.0.0.77,81.9,2,63.2,UDP,2.5,3
10.0.50.121,192.168.1.79,324.2,5,637.2,TCP,0.8,10
10.0.50.10,192.168.1.57,414.2,2,214.2,TCP,14.0,9
192.168.50.77,192.168.2.168,103.0,5,933.6,TCP,13.9,4
192.168.2.121,10.0.1.131,53.9,3,1153.9,TCP,2.0,13
192.168.1.136,10.0.1.147,67.0,1,781.4,TCP,41.7,7
10.0.2.218,172.16.1.226,320.3,8,1206.9,TCP,16.3,1
10.0.10.197,192.168.1.93,61.7,1,280.7,UDP,10.3,1
10.0.2.67,10.0.0.43,54.6,1,151.5,UDP,5.8,5
10.0.10.78,10.0.0.105,252.7,8,1125.0,UDP,16.9,10
10.2.0.193,172.16.1.20,1071.3,3,530.7,TCP,18.7,3
192.168.2.34,10.0.1.240,107.2,2,1194.3,TCP,1.1,14
10.2.0.200,172.16.1.32,523.7,9,727.7,TCP,10.4,4
192.168.50.244,10.0.1.246,536.1,3,1226.9,TCP,49.6,3
10.1.0.64,10.0.1.180,593.3,3,1128.1,UDP,62.3,4
10.0.2.64,10.0.1.118,129.8,5,1304.3,ICMP,4.0,9
192.168.1.173,10.0.0.112,226.5,1,516.9,TCP,52.8,13
192.168.50.220,10.0.0.198,251.9,13,493.8,TCP,46.4,11
10.2.0.195,10.0.0.86,174.1,1,338.0,TCP,9.1,7
10.1.0.243,10.0.0.12,50.5,16,273.4,TCP,52.3,3
10.0.100.69,10.0.0.85,7.2,1,131.6,TCP,4.0,1
192.168.2.24,192.168.2.229,3.6,1,84.3,ICMP,35.4,2
192.168.10.129,10.0.0.175,331.9,2,1329.2,TCP,87.9,2
10.0.1.221,172.16.1.251,38.2,1,512.9,TCP,12.1,13
192.168.1.3,172.16.1.2,672.1,2,1419.6,TCP,94.5,1
10.1.0.74,192.168.1.156,243.3,1,832.6,TCP,18.7,6
10.0.1.221,10.0.0.118,44.1,7,907.0,TCP,15.2,6
10.0.100.122,10.0.0.197,26.0,1,144.4,UDP,6.2,1
10.0.1.110,10.0.1.114,26.2,5,1384.5,ICMP,10.8,1
10.0.2.160,192.168.1.139,557.2,1,1339.1,UDP,38.7,1
192.168.1.62,10.0.0.120,281.6,19,1054.4,TCP,41.2,15
10.0.1.222,10.0.0.20,423.4,1,1293.0,UDP,18.6,2
192.168.10.168,192.168.1.224,64.3,6,813.6,UDP,13.7,13
10.1.0.227,192.168.1.172,84.4,8,836.2,TCP,11.2,4
10.2.0.138,172.16.1.136,108.6,1,955.6,TCP,23.1,2
192.168.10.148,192.168.2.163,37.7,9,799.8,TCP,11.8,10
192.168.50.21,10.0.1.95,74.1,1,167.5,UDP,8.1,7
10.0.2.108,192.168.2.168,558.9,3,310.7,UDP,245.4,1
10.1.0.247,172.16.1.105,425.3,3,844.4,TCP,199.7,1
10.0.100.10,192.168.2.8,9.0,1,125.6,ICMP,3.7,1
192.168.50.216,10.0.1.245,82.6,8,904.6,TCP,0.5,5
192.168.10.105,192.168.2.156,200.7,9,420.6,TCP,2.1,2
10.2.0.213,10.0.0.149,582.6,3,1374.7,UDP,79.9,4
192.168.100.48,192.168.2.10,25.3,1,101.7,UDP,9.7,1
10.0.1.93,10.0.0.251,140.3,3,1390.0,TCP,8.6,5
192.168.2.46,192.168.2.48,174.2,4,319.8,TCP,5.8,11
192.168.2.40,10.0.1.175,332.2,1,1455.3,TCP,141.1,3
10.1.0.129,10.0.1.249,166.6,5,753.8,TCP,3.8,13
10.0.10.75,172.16.1.86,14.9,1,262.6,UDP,4.6,4
10.1.0.194,192.168.2.51,393.9,2,1124.2,TCP,10.5,1
192.168.50.72,172.16.1.236,26.5,1,68.7,ICMP,3.0,2
10.0.51.23,192.168.1.213,245.8,5,446.8,TCP,34.3,6
10.0.50.150,192.168.1.88,250.5,3,205.9,TCP,44.9,11
192.168.10.62,10.0.0.128,46.8,1,344.3,UDP,4.9,5
192.168.1.195,192.168.1.234,22.8,8,625.7,TCP,16.2,1
192.168.1.171,10.0.1.169,59.0,5,1500.0,UDP,14.3,4
192.168.50.160,192.168.1.87,50.3,5,829.3,UDP,22.3,8
192.168.2.247,192.168.2.120,335.2,3,855.3,TCP,49.3,14
192.168.10.208,10.0.0.89,17.2,1,78.1,ICMP,29.1,2
192.168.10.43,10.0.1.46,93.2,1,433.1,TCP,5.9,3
192.168.2.184,172.16.1.156,49.1,1,83.2,ICMP,23.7,2
192.168.2.132,10.0.1.186,129.3,5,1252.8,ICMP,4.9,6
10.0.1.28,10.0.1.108,22.4,1,81.3,ICMP,22.7,1
192.168.100.41,10.0.0.206,2.2,1,148.3,UDP,9.6,1
